,date,close,daily change,daily change pct,high to date,off from high
562,1930-04-01,25.370001,1.22,5.052,31.860001,-20.37
563,1930-04-02,25.110001,-0.26,-1.025,31.860001,-21.186
564,1930-04-03,25.16,0.05,0.199,31.860001,-21.03
565,1930-04-04,25.540001,0.38,1.51,31.860001,-19.837
566,1930-04-07,25.6,0.06,0.235,31.860001,-19.648
567,1930-04-08,25.459999,-0.14,-0.547,31.860001,-20.088
568,1930-04-09,25.870001,0.41,1.61,31.860001,-18.801
569,1930-04-10,25.92,0.05,0.193,31.860001,-18.644
570,1930-04-11,25.84,-0.08,-0.309,31.860001,-18.895
571,1930-04-14,25.73,-0.11,-0.426,31.860001,-19.24
572,1930-04-15,25.74,0.01,0.039,31.860001,-19.209
573,1930-04-16,25.559999,-0.18,-0.699,31.860001,-19.774
574,1930-04-17,25.75,0.19,0.743,31.860001,-19.178
575,1930-04-21,25.290001,-0.46,-1.786,31.860001,-20.621
576,1930-04-22,25.5,0.21,0.83,31.860001,-19.962
577,1930-04-23,25.549999,0.05,0.196,31.860001,-19.805
578,1930-04-24,25.35,-0.2,-0.783,31.860001,-20.433
579,1930-04-25,25.32,-0.03,-0.118,31.860001,-20.527
580,1930-04-28,24.76,-0.56,-2.212,31.860001,-22.285
581,1930-04-29,24.73,-0.03,-0.121,31.860001,-22.379
582,1930-04-30,24.9,0.17,0.687,31.860001,-21.846
583,1930-05-01,24.299999,-0.6,-2.41,31.860001,-23.729
584,1930-05-02,23.57,-0.73,-3.004,31.860001,-26.02
585,1930-05-05,22.98,-0.59,-2.503,31.860001,-27.872
586,1930-05-06,23.76,0.78,3.394,31.860001,-25.424
587,1930-05-07,23.309999,-0.45,-1.894,31.860001,-26.836
588,1930-05-08,23.4,0.09,0.386,31.860001,-26.554
589,1930-05-09,23.690001,0.29,1.239,31.860001,-25.643
590,1930-05-12,24.09,0.4,1.688,31.860001,-24.388
591,1930-05-13,24.42,0.33,1.37,31.860001,-23.352
592,1930-05-14,24.57,0.15,0.614,31.860001,-22.881
593,1930-05-15,24.17,-0.4,-1.628,31.860001,-24.137
594,1930-05-16,24.280001,0.11,0.455,31.860001,-23.792
595,1930-05-19,23.75,-0.53,-2.183,31.860001,-25.455
596,1930-05-20,23.860001,0.11,0.463,31.860001,-25.11
597,1930-05-21,23.74,-0.12,-0.503,31.860001,-25.487
598,1930-05-22,23.790001,0.05,0.211,31.860001,-25.33
599,1930-05-23,24.030001,0.24,1.009,31.860001,-24.576
600,1930-05-26,24.23,0.2,0.832,31.860001,-23.949
601,1930-05-27,24.24,0.01,0.041,31.860001,-23.917
602,1930-05-28,24.379999,0.14,0.578,31.860001,-23.478
603,1930-05-29,24.49,0.11,0.451,31.860001,-23.132
604,1930-06-02,24.4,-0.09,-0.367,31.860001,-23.415
605,1930-06-03,24.18,-0.22,-0.902,31.860001,-24.105
606,1930-06-04,24.290001,0.11,0.455,31.860001,-23.76
