date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1978-12-28,96.28,-0.38,-0.39,120.24,-19.93,True,1,12767,-96.28,-580759.79,1229206.76,648446.97
1978-12-29,96.11,-0.17,-0.18,120.24,-20.07,True,1,12768,-96.11,-580855.9,1227132.48,646276.58
1979-01-02,96.73,0.62,0.64,120.24,-19.55,True,1,12769,-96.73,-580952.63,1235145.37,654192.74
1979-01-03,97.8,1.07,1.11,120.24,-18.66,True,1,12770,-97.8,-581050.43,1248906.0,667855.57
1979-01-04,98.58,0.78,0.8,120.24,-18.01,True,1,12771,-98.58,-581149.01,1258965.18,677816.17
1979-01-05,99.13,0.55,0.56,120.24,-17.56,True,1,12772,-99.13,-581248.14,1266088.36,684840.22
1979-01-08,98.8,-0.33,-0.33,120.24,-17.83,True,1,12773,-98.8,-581346.94,1261972.4,680625.46
1979-01-09,99.33,0.53,0.54,120.24,-17.39,True,1,12774,-99.33,-581446.27,1268841.42,687395.15
1979-01-10,98.77,-0.56,-0.56,120.24,-17.86,True,1,12775,-98.77,-581545.04,1261786.75,680241.71
1979-01-11,99.1,0.33,0.33,120.24,-17.58,True,1,12776,-99.1,-581644.14,1266101.6,684457.46
1979-01-12,99.93,0.83,0.84,120.24,-16.89,True,1,12777,-99.93,-581744.07,1276805.61,695061.54
1979-01-15,100.69,0.76,0.76,120.24,-16.26,True,1,12778,-100.69,-581844.76,1286616.82,704772.06
1979-01-16,99.46,-1.23,-1.22,120.24,-17.28,True,1,12779,-99.46,-581944.22,1270999.34,689055.12
1979-01-17,99.48,0.02,0.02,120.24,-17.26,True,1,12780,-99.48,-582043.7,1271354.4,689310.7
1979-01-18,99.72,0.24,0.24,120.24,-17.07,True,1,12781,-99.72,-582143.42,1274521.32,692377.9
1979-01-19,99.75,0.03,0.03,120.24,-17.04,True,1,12782,-99.75,-582243.17,1275004.5,692761.33
