,high date,high close,next high date,next high close,date diff,close diff,close diff (%)
18071,1999-12-22,1436.130005,1999-12-23,1458.339966,1.0,22.21,1.547
18072,1999-12-23,1458.339966,1999-12-29,1463.459961,6.0,5.12,0.351
18075,1999-12-29,1463.459961,1999-12-30,1464.469971,1.0,1.01,0.069
18076,1999-12-30,1464.469971,1999-12-31,1469.25,1.0,4.78,0.326
18077,1999-12-31,1469.25,2000-03-21,1493.869995,81.0,24.62,1.676
18132,2000-03-21,1493.869995,2000-03-22,1500.640015,1.0,6.77,0.453
18133,2000-03-22,1500.640015,2000-03-23,1527.349976,1.0,26.71,1.78
18134,2000-03-23,1527.349976,2000-03-24,1527.459961,1.0,0.11,0.007
18135,2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.181
19938,2007-05-30,1530.22998,2007-05-31,1530.619995,1.0,0.39,0.025
19939,2007-05-31,1530.619995,2007-06-01,1536.339966,1.0,5.72,0.374
19940,2007-06-01,1536.339966,2007-06-04,1539.180054,3.0,2.84,0.185
19941,2007-06-04,1539.180054,2007-07-12,1547.699951,38.0,8.52,0.554
19968,2007-07-12,1547.699951,2007-07-13,1552.5,1.0,4.8,0.31
19969,2007-07-13,1552.5,2007-07-19,1553.079956,6.0,0.58,0.037
19973,2007-07-19,1553.079956,2007-10-05,1557.589966,78.0,4.51,0.29
20028,2007-10-05,1557.589966,2007-10-09,1565.150024,4.0,7.56,0.485
20030,2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258
21406,2013-03-28,1569.189941,2013-04-02,1570.25,5.0,1.06,0.068
21408,2013-04-02,1570.25,2013-04-10,1587.72998,8.0,17.48,1.113
21414,2013-04-10,1587.72998,2013-04-11,1593.369995,1.0,5.64,0.355
21415,2013-04-11,1593.369995,2013-04-29,1593.609985,18.0,0.24,0.015
21427,2013-04-29,1593.609985,2013-04-30,1597.569946,1.0,3.96,0.248
21428,2013-04-30,1597.569946,2013-05-02,1597.589966,2.0,0.02,0.001
21430,2013-05-02,1597.589966,2013-05-03,1614.420044,1.0,16.83,1.053
21431,2013-05-03,1614.420044,2013-05-06,1617.5,3.0,3.08,0.191
21432,2013-05-06,1617.5,2013-05-07,1625.959961,1.0,8.46,0.523
21433,2013-05-07,1625.959961,2013-05-08,1632.689941,1.0,6.73,0.414
21434,2013-05-08,1632.689941,2013-05-10,1633.699951,2.0,1.01,0.062
21436,2013-05-10,1633.699951,2013-05-13,1633.77002,3.0,0.07,0.004
21437,2013-05-13,1633.77002,2013-05-14,1650.339966,1.0,16.57,1.014
