time interval,start year,end year,"start, end month",start price,end price,return (%),annual return (%)
38,1934,1972,2,11.46,104.010002,807.5916404886561,5.976029548735395
38,1934,1972,3,10.72,107.349998,901.3992350746267,6.2506926432869925
38,1934,1972,4,10.76,107.480003,898.8847862453531,6.243663293296109
38,1934,1972,5,10.46,106.690002,919.9808986615678,6.3021126429696706
38,1934,1972,6,9.38,109.690002,1069.4030063965886,6.685235742176832
38,1934,1972,7,9.69,107.489998,1009.2879050567597,6.537172203635344
38,1934,1972,8,8.95,108.400002,1111.1732067039106,6.78381381690738
38,1934,1972,9,9.06,111.510002,1130.79472406181,6.8289833543570655
38,1934,1972,10,8.83,110.160004,1147.5651642129105,6.86703728761322
38,1934,1972,11,8.77,112.66999799999999,1184.7206157354617,6.94960283771533
38,1934,1972,12,9.41,117.379997,1147.3963549415516,6.866656728751419
38,1935,1973,1,9.51,119.099998,1152.365909568875,6.877839016819909
38,1935,1973,2,9.05,114.760002,1168.0663204419889,6.912885695738735
38,1935,1973,3,8.79,111.050003,1163.3674971558592,6.902441421409167
38,1935,1973,4,8.54,110.18,1190.1639344262296,6.96150309588599
38,1935,1973,5,9.23,107.099998,1060.3466738894906,6.6634108764601185
38,1935,1973,6,9.67,103.93,974.767321613237,6.448575492219533
38,1935,1973,7,10.28,102.900002,900.9727821011675,6.249501669724822
38,1935,1973,8,11.04,106.83000200000001,867.6630615942031,6.154915645736825
38,1935,1973,9,11.21,104.510002,832.2926137377341,6.05094254254217
38,1935,1973,10,11.48,108.209999,842.5958101045296,6.0816203742457775
38,1935,1973,11,12.61,107.690002,754.0047739888978,5.806442657076949
38,1935,1973,12,12.75,93.900002,636.4706039215687,5.394968743968875
38,1936,1974,1,13.4,97.68,628.955223880597,5.3665242258959855
38,1936,1974,2,14.44,95.32,560.1108033240996,5.09180812486838
38,1936,1974,3,14.77,95.529999,546.7840148950576,5.035418573069794
38,1936,1974,4,15.19,93.25,513.8907175773536,4.891244594778255
38,1936,1974,5,13.87,92.220001,564.8882552271089,5.111753357584625
38,1936,1974,6,14.39,89.099998,519.1799722029186,4.914927982573158
38,1936,1974,7,14.9,86.019997,477.31541610738253,4.721821664925385
38,1936,1974,8,15.91,78.75,394.9717159019484,4.298588519429103
38,1936,1974,9,15.95,70.519997,342.13164263322886,3.9891910916555418
38,1936,1974,10,16.040001,63.389998999999996,295.1994703740978,3.6825556571018936
38,1936,1974,11,17.17,73.879997,330.2853640069889,3.9148953496171313
38,1936,1974,12,17.139999,68.110001,297.37459144542544,3.6975327708641537
38,1937,1975,1,16.93,70.230003,314.82577082102773,3.81488433850683
38,1937,1975,2,17.879998999999998,77.82,335.23492367085703,3.946176564277004
38,1937,1975,3,18.09,83.029999,358.98285793255945,4.091602949940576
38,1937,1975,4,17.709999,82.639999,366.6290438525717,4.136870012479399
38,1937,1975,5,16.469998999999998,88.099998,434.9119814761374,4.511799213639045
38,1937,1975,6,15.96,92.58000200000001,480.07520050125316,4.734965038741135
38,1937,1975,7,15.47,94.849998,513.1221590174531,4.8877867429503175
38,1937,1975,8,17.07,87.989998,415.4657176332748,4.410000934722325
38,1937,1975,9,15.61,85.480003,447.59771300448426,4.576282813137245
38,1937,1975,10,13.72,82.93,504.4460641399417,4.848456355835262
38,1937,1975,11,12.08,88.089996,629.221821192053,5.367538129473881
38,1937,1975,12,10.97,90.66999799999999,726.5268732907929,5.715420483752864
38,1938,1976,1,10.52,90.900002,764.0684600760457,5.839067305177625
38,1938,1976,2,10.89,100.870003,826.2626538108356,6.032834799549236
38,1938,1976,3,11.46,100.019997,772.7748429319371,5.866994701929951
38,1938,1976,4,8.91,102.239998,1047.4747250280582,6.632103639807485
38,1938,1976,5,9.59,100.91999799999999,952.3461730969759,6.3895351230033315
38,1938,1976,6,9.57,99.849998,943.3646603970741,6.365540323815533
38,1938,1976,7,11.91,103.589996,769.7732661628884,5.857397328234248
38,1938,1976,8,12.25,103.190002,742.3673632653062,5.768246281547484
38,1938,1976,9,11.92,104.059998,772.9865604026845,5.867670442791995
38,1938,1976,10,12.52,104.16999799999999,732.0287380191694,5.733879311498691
38,1938,1976,11,13.1,103.099998,687.0228854961832,5.579260253367435
38,1938,1976,12,12.61,102.489998,712.7676288659794,5.6687291136857665
38,1939,1977,1,13.08,107.0,718.0428134556574,5.686720537942791
38,1939,1977,2,12.12,102.540001,746.0396122112211,5.780354555046152
38,1939,1977,3,12.7,100.660004,692.5984566929135,5.59887594074322
38,1939,1977,4,11.26,99.209999,781.0834724689165,5.8933944185679765
38,1939,1977,5,10.86,98.93,810.9576427255986,5.986353953407564
38,1939,1977,6,11.42,96.93,748.7740805604204,5.7893375503116795
38,1939,1977,7,11.0,100.099998,809.9999818181818,5.9834203439246725
38,1939,1977,8,12.04,99.120003,723.255838870432,5.704389328024195
38,1939,1977,9,11.3,96.83000200000001,756.9026725663716,5.815875333802389
38,1939,1977,10,12.88,96.739998,651.0869409937887,5.4494889307382
38,1939,1977,11,12.82,91.349998,612.5584867394696,5.303460962139295
38,1939,1977,12,12.29,94.690002,670.4638079739626,5.520195055405996
38,1940,1978,1,12.63,93.82,642.8345209817893,5.4188350318141065
38,1940,1978,2,12.05,89.93,646.3070539419087,5.431774083207341
38,1940,1978,3,12.06,87.190002,622.9685074626866,5.34366038056675
38,1940,1978,4,12.21,88.459999,624.4881162981162,5.349481321788163
38,1940,1978,5,12.03,97.66999799999999,711.8869326683292,5.665714360120289
