,date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
7200,1956-10-17,46.26,-0.36,-0.77,49.64,-6.81,True,1,454,-46.26,-19653.3,21002.04,1348.74
7201,1956-10-18,46.34,0.08,0.17,49.64,-6.65,True,1,455,-46.34,-19699.64,21084.7,1385.06
7202,1956-10-19,46.24,-0.1,-0.22,49.64,-6.85,True,1,456,-46.24,-19745.88,21085.44,1339.56
7203,1956-10-22,46.23,-0.01,-0.02,49.64,-6.87,True,1,457,-46.23,-19792.11,21127.11,1335.0
7204,1956-10-23,46.12,-0.11,-0.24,49.64,-7.09,True,1,458,-46.12,-19838.23,21122.96,1284.73
7205,1956-10-24,45.93,-0.19,-0.41,49.64,-7.47,True,1,459,-45.93,-19884.16,21081.87,1197.71
7206,1956-10-25,45.85,-0.08,-0.17,49.64,-7.64,True,1,460,-45.85,-19930.01,21091.0,1160.99
7207,1956-10-26,46.27,0.42,0.92,49.64,-6.79,True,1,461,-46.27,-19976.28,21330.47,1354.19
7208,1956-10-29,46.4,0.13,0.28,49.64,-6.53,True,1,462,-46.4,-20022.68,21436.8,1414.12
7209,1956-10-30,46.37,-0.03,-0.06,49.64,-6.59,True,1,463,-46.37,-20069.05,21469.31,1400.26
7210,1956-10-31,45.58,-0.79,-1.7,49.64,-8.18,True,1,464,-45.58,-20114.63,21149.12,1034.49
7211,1956-11-01,46.52,0.94,2.06,49.64,-6.28,True,1,465,-46.52,-20161.15,21631.8,1470.65
7212,1956-11-02,46.98,0.46,0.99,49.64,-5.36,True,1,466,-46.98,-20208.13,21892.68,1684.55
7213,1956-11-05,47.6,0.62,1.32,49.64,-4.11,True,1,467,-47.6,-20255.73,22229.2,1973.47
7214,1956-11-07,47.11,-0.49,-1.03,49.64,-5.1,True,1,468,-47.11,-20302.84,22047.48,1744.64
7215,1956-11-08,46.73,-0.38,-0.81,49.64,-5.86,True,1,469,-46.73,-20349.57,21916.37,1566.8
7216,1956-11-09,46.34,-0.39,-0.84,49.64,-6.65,True,1,470,-46.34,-20395.91,21779.8,1383.89
7217,1956-11-12,46.49,0.15,0.32,49.64,-6.35,True,1,471,-46.49,-20442.4,21896.79,1454.39
7218,1956-11-13,46.27,-0.22,-0.47,49.64,-6.79,True,1,472,-46.27,-20488.67,21839.44,1350.77
7219,1956-11-14,46.01,-0.26,-0.56,49.64,-7.31,True,1,473,-46.01,-20534.68,21762.73,1228.05
7220,1956-11-15,45.72,-0.29,-0.63,49.64,-7.9,True,1,474,-45.72,-20580.4,21671.28,1090.88
7221,1956-11-16,45.74,0.02,0.04,49.64,-7.86,True,1,475,-45.74,-20626.14,21726.5,1100.36
7222,1956-11-19,45.29,-0.45,-0.98,49.64,-8.76,True,1,476,-45.29,-20671.43,21558.04,886.61
7223,1956-11-20,44.89,-0.4,-0.88,49.64,-9.57,True,1,477,-44.89,-20716.32,21412.53,696.21
7224,1956-11-21,44.67,-0.22,-0.49,49.64,-10.01,True,1,478,-44.67,-20760.99,21352.26,591.27
7225,1956-11-23,45.14,0.47,1.05,49.64,-9.06,True,1,479,-45.14,-20806.13,21622.06,815.93
7226,1956-11-26,44.87,-0.27,-0.6,49.64,-9.61,True,1,480,-44.87,-20851.0,21537.6,686.6
7227,1956-11-27,44.91,0.04,0.09,49.64,-9.53,True,1,481,-44.91,-20895.91,21601.71,705.8
7228,1956-11-28,44.43,-0.48,-1.07,49.64,-10.5,True,1,482,-44.43,-20940.34,21415.26,474.92
7229,1956-11-29,44.38,-0.05,-0.11,49.64,-10.6,True,1,483,-44.38,-20984.72,21435.54,450.82
7230,1956-11-30,45.08,0.7,1.58,49.64,-9.19,True,1,484,-45.08,-21029.8,21818.72,788.92
7231,1956-12-03,45.98,0.9,2.0,49.64,-7.37,True,1,485,-45.98,-21075.78,22300.3,1224.52
7232,1956-12-04,45.84,-0.14,-0.3,49.64,-7.66,True,1,486,-45.84,-21121.62,22278.24,1156.62
7233,1956-12-05,46.39,0.55,1.2,49.64,-6.55,True,1,487,-46.39,-21168.01,22591.93,1423.92
7234,1956-12-06,46.81,0.42,0.9,49.64,-5.7,True,1,488,-46.81,-21214.82,22843.28,1628.46
7235,1956-12-07,47.04,0.23,0.49,49.64,-5.24,True,1,489,-47.04,-21261.86,23002.56,1740.7
7236,1956-12-10,46.8,-0.24,-0.51,49.64,-5.72,True,1,490,-46.8,-21308.66,22932.0,1623.34
7237,1956-12-11,46.48,-0.32,-0.68,49.64,-6.37,True,1,491,-46.48,-21355.14,22821.68,1466.54
7238,1956-12-12,46.13,-0.35,-0.75,49.64,-7.07,True,1,492,-46.13,-21401.27,22695.96,1294.69
7239,1956-12-13,46.5,0.37,0.8,49.64,-6.33,True,1,493,-46.5,-21447.77,22924.5,1476.73
